Date,Open,Close,High,Low,Volume
2017/12/18,3983.2965,3985.2914,4008.0688,3967.9343,7785337500
2017/12/19,3985.8233,4035.3294,4035.6296,3985.8233,7752898500
2017/12/20,4036.019,4030.4898,4044.8485,4015.6285,9060450300
2017/12/21,4023.076,4067.8485,4080.781,4014.6526,9683608900
2017/12/22,4064.9131,4054.5984,4076.8028,4048.4913,7347368400
2017/12/25,4057.4173,4041.5401,4086.9342,4026.4496,9192696200
2017/12/26,4040.6173,4053.6224,4056.8554,4015.2996,9111879000
2017/12/27,4045.2793,3991.2075,4047.7366,3986.7385,10515357700
2017/12/28,3992.997,4018.8974,4036.6975,3980.2358,11854288600
2017/12/29,4022.8826,4030.8549,4043.14,4012.8749,9048668300
2018/1/2,4045.2086,4087.4012,4087.7789,4045.2086,14693543500
2018/1/3,4091.4607,4111.3925,4140.0543,4088.7302,15185221800
2018/1/4,4114.1213,4128.8119,4137.642,4105.8858,13454379400
2018/1/5,4133.3439,4138.7505,4151.2818,4123.2817,14900987200
2018/1/8,4140.8545,4160.1595,4166.3182,4127.3081,17387766600
2018/1/9,4157.5394,4189.2977,4191.2843,4153.5021,13903429400
2018/1/10,4187.2044,4207.8132,4211.0549,4175.1355,15112166600
2018/1/11,4197.1136,4205.5863,4211.799,4181.9572,12157853900
2018/1/12,4205.1444,4225.001,4227.3923,4199.0251,11135479400
2018/1/15,4229.8357,4225.2393,4262.9314,4216.3585,17090789700
2018/1/16,4215.6247,4258.473,4260.2118,4213.1275,16149496300
2018/1/17,4261.7833,4248.1164,4283.3449,4230.5367,21431103200
2018/1/18,4259.375,4271.4168,4292.6372,4246.684,17203284600
2018/1/19,4281.9371,4285.395,4316.5714,4269.6167,20949057000
2018/1/22,4276.4811,4336.5974,4338.4832,4275.8977,17464319500
2018/1/23,4346.8885,4382.6129,4383.5722,4346.7925,20186758500
2018/1/24,4389.4547,4389.8853,4397.8196,4349.0865,21981888900
2018/1/25,4381.9768,4365.0794,4392.1963,4336.2386,19537495000
2018/1/26,4352.2211,4381.2996,4403.3375,4351.4871,17722723700
2018/1/29,4387.0577,4302.0181,4395.9053,4287.1124,19110035400
2018/1/30,4286.6834,4256.1021,4308.5115,4251.5706,13903473000
2018/1/31,4234.1101,4275.8986,4287.8576,4232.7727,14521016400
2018/2/1,4276.3425,4245.8978,4287.3888,4214.2909,19000293400
2018/2/2,4213.9386,4271.2326,4271.7647,4181.7793,14606682700
2018/2/5,4204.458,4274.1464,4274.1464,4200.1409,16134779900
2018/2/6,4182.3257,4148.8856,4211.5234,4131.5562,21491045000
2018/2/7,4205.7365,4050.4972,4212.5677,4048.4228,20312749300
2018/2/8,4022.8802,4012.0472,4071.6653,3974.6779,15926998500
2018/2/9,3896.1691,3840.6527,3911.2917,3759.1463,20634982800
2018/2/12,3846.2671,3890.1046,3907.843,3828.0697,11618263700
2018/2/13,3925.5955,3935.6324,3986.9807,3925.5955,11256588500
2018/2/14,3945.0943,3966.9614,3971.4041,3923.1267,7108133800
2018/2/22,4020.9731,4052.7332,4058.7878,4009.9202,10581157100
2018/2/23,4061.7545,4071.0889,4085.2008,4035.2319,9945874600
2018/2/26,4093.3988,4118.4186,4128.7435,4048.9834,13788100100
2018/2/27,4120.8712,4058.9806,4120.8712,4051.8054,12593447000
2018/2/28,4016.7911,4023.6415,4051.7124,3991.7063,10934359300
2018/3/1,3994.8686,4049.0863,4061.0328,3986.8947,11019985200
